timestamp,sbe_receive_time_us,orderbook_update_time_us,arbitrage_detection_time_us,total_processing_time_us,updates_processed,opportunities_found,best_profit_percentage,avg_profit_percentage,symbol
2025-05-18 23:43:31.283,0,54,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.383,0,50,0,51,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.484,0,70,0,71,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.583,0,35,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.683,0,74,0,75,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.783,0,141,0,142,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.882,0,36,0,37,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.983,0,54,0,55,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.084,0,66,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.184,0,35,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.285,0,53,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.383,0,63,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.482,0,19,0,20,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.583,0,29,0,29,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.698,0,86,0,87,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.783,0,47,0,48,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.885,0,68,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:32.989,0,601,0,601,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.083,0,33,0,33,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.184,0,63,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.283,0,50,0,50,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.382,0,23,0,23,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.483,0,34,0,34,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.587,0,57,0,57,1,0,0,0,SOLARS
2025-05-18 23:43:33.587,0,85,0,85,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.683,0,75,0,75,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.784,0,42,0,42,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.884,0,89,0,89,1,0,0,0,SOLUSDT
2025-05-18 23:43:33.985,0,26,0,26,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.091,0,12,0,12,1,0,0,0,SOLARS
2025-05-18 23:43:34.091,0,29,0,30,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.185,0,64,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.295,0,63,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.383,0,51,0,51,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.484,0,71,0,72,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.580,0,62,0,63,1,0,0,0,SOLARS
2025-05-18 23:43:34.582,0,42,0,42,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.682,0,17,0,17,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.782,0,12,0,12,1,0,0,0,SOLUSDT
2025-05-18 23:43:34.883,0,66,0,66,1,0,0,0,SOLUSDT
